id,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
330,Camberwell,1/28 Nevis St,2,u,700000,S,Marshall,27/11/16,7.8,3124,2,1,1,631,75,1970,Boroondara,-37.8434,145.081,Southern Metropolitan,8920
331,Camberwell,612 Riversdale Rd,4,h,2750000,PI,RT,28/5/16,7.8,3124,4,3,1,0,257,1912,Boroondara,-37.8325,145.0649,Southern Metropolitan,8920
332,Camberwell,4/26 Cornell St,2,h,706000,S,Fletchers,28/8/16,7.8,3124,2,1,1,95,,1960,Boroondara,-37.8399,145.0912,Southern Metropolitan,8920
333,Canterbury,1/28 Milton St,2,h,765000,S,Jellis,4/3/17,9,3126,2,1,1,543,,,Boroondara,-37.8295,145.0774,Southern Metropolitan,3265
334,Canterbury,5 Margaret St,4,h,2620000,S,Marshall,7/11/16,9,3126,4,1,1,717,235,1890,Boroondara,-37.8266,145.0849,Southern Metropolitan,3265
335,Canterbury,8 Dudley Pde,5,h,2350000,VB,Jellis,15/10/16,9,3126,5,2,4,838,282,1910,Boroondara,-37.8252,145.0721,Southern Metropolitan,3265
336,Canterbury,77 Highfield Rd,5,h,3550000,VB,RT,18/3/17,9,3126,5,4,4,684,427,2013,Boroondara,-37.832,145.0853,Southern Metropolitan,3265
337,Canterbury,12a View St,3,h,1850000,PI,Marshall,26/7/16,9,3126,3,2,2,361,216,1995,Boroondara,-37.8206,145.0785,Southern Metropolitan,3265
338,Canterbury,3/34 Faversham Rd,3,t,1843000,S,Jellis,27/6/16,9,3126,3,2,2,0,,,Boroondara,-37.8207,145.0854,Southern Metropolitan,3265
339,Carlton North,593 Canning St,3,h,1540000,S,Nelson,4/3/17,3.2,3054,3,1,0,169,,,Yarra,-37.7821,144.9753,Northern Metropolitan,3106
340,Carlton North,122 Richardson St,2,h,1725000,S,hockingstuart,4/3/17,3.2,3054,2,1,1,210,,,Yarra,-37.7844,144.972,Northern Metropolitan,3106
341,Carlton North,40 Ogrady St,2,h,1330000,S,Nelson,15/10/16,3.2,3054,2,1,0,116,,,Yarra,-37.7904,144.9726,Northern Metropolitan,3106
342,Carlton North,354 Station St,3,h,1214000,S,Nelson,16/4/16,3.2,3054,3,3,1,144,,,Yarra,-37.7885,144.9757,Northern Metropolitan,3106
343,Carlton North,26/174 Lee St,1,u,390000,S,Kelly,16/7/16,3.2,3054,1,1,1,0,,1970,Yarra,-37.7907,144.9691,Northern Metropolitan,3106
344,Carlton North,75 Fenwick St,3,h,2050000,S,Nelson,18/3/17,3.2,3054,3,2,0,84,148,1970,Yarra,-37.7879,144.9736,Northern Metropolitan,3106
345,Carlton North,984 Lygon St,2,h,1150000,VB,Nelson,24/9/16,3.2,3054,2,1,2,373,,,Yarra,-37.7828,144.9702,Northern Metropolitan,3106
346,Carlton North,24/635 Drummond St,2,u,570000,S,hockingstuart,27/6/16,3.2,3054,2,1,1,0,76,1975,Yarra,-37.7902,144.97,Northern Metropolitan,3106
347,Carnegie,64 Lyons St,2,h,890000,S,hockingstuart,4/3/17,11.4,3163,2,1,1,282,111,,Glen Eira,-37.8957,145.0528,Southern Metropolitan,7822
348,Carnegie,8/54 Moonya Rd,1,u,346000,S,Woodards,4/3/17,11.4,3163,1,1,1,60,48,1970,Glen Eira,-37.8965,145.0618,Southern Metropolitan,7822
349,Carnegie,1/177 Oakleigh Rd,2,u,586000,S,hockingstuart,4/3/17,11.4,3163,2,1,1,898,,1970,Glen Eira,-37.9003,145.0634,Southern Metropolitan,7822
350,Carnegie,4/314 Neerim Rd,2,u,525000,SP,hockingstuart,4/6/16,11.4,3163,2,1,2,0,67,2009,Glen Eira,-37.8893,145.0589,Southern Metropolitan,7822
351,Carnegie,4/12 Judith St,2,u,360000,VB,Gary,6/8/16,11.4,3163,2,1,1,0,70,1970,Glen Eira,-37.9032,145.0555,Southern Metropolitan,7822
352,Carnegie,78b Miller St,3,u,1008000,S,Woodards,7/11/16,11.4,3163,3,2,1,300,130,1990,Glen Eira,-37.8974,145.0539,Southern Metropolitan,7822
353,Carnegie,4/62 Moonya Rd,2,u,625000,S,Woodards,7/11/16,11.4,3163,2,1,1,78,,,Glen Eira,-37.8967,145.0627,Southern Metropolitan,7822
354,Carnegie,12/250 Neerim Rd,2,t,700000,SP,Gary,7/11/16,11.4,3163,2,2,1,106,,,Glen Eira,-37.8881,145.0535,Southern Metropolitan,7822
355,Carnegie,2/22 Kokaribb Rd,2,u,465000,S,Ray,11/2/17,11.4,3163,2,1,1,0,56,1970,Glen Eira,-37.8881,145.0558,Southern Metropolitan,7822
356,Carnegie,14 Emily St,3,h,1646000,S,Ray,11/3/17,11.4,3163,3,2,2,721,,,Glen Eira,-37.8909,145.0648,Southern Metropolitan,7822
357,Carnegie,6 Longstaff St,4,h,1501000,S,Gary,14/5/16,11.4,3163,3,2,1,598,201,1970,Glen Eira,-37.9037,145.0588,Southern Metropolitan,7822
358,Carnegie,215 Neerim Rd,3,h,950000,VB,Gary,14/5/16,11.4,3163,3,1,1,586,,,Glen Eira,-37.888,145.0505,Southern Metropolitan,7822
359,Carnegie,53 Moonya Rd,4,h,1423000,S,Woodards,19/11/16,11.4,3163,4,3,4,838,,,Glen Eira,-37.8972,145.0617,Southern Metropolitan,7822
360,Carnegie,27 Morgan St,5,h,1900000,PI,Buxton,19/11/16,11.4,3163,5,3,1,564,,1930,Glen Eira,-37.8957,145.0487,Southern Metropolitan,7822
361,Carnegie,16a Blackwood St,2,u,983500,S,Thomson,22/8/16,11.4,3163,2,1,1,333,,,Glen Eira,-37.8867,145.0653,Southern Metropolitan,7822
362,Carnegie,1/52 Neville St,4,t,1100000,S,hockingstuart,23/4/16,11.4,3163,4,3,2,305,,1996,Glen Eira,-37.8978,145.0506,Southern Metropolitan,7822
363,Carnegie,76 Oakleigh Rd,3,h,1125000,PI,Ray,23/4/16,11.4,3163,3,1,1,604,120,1925,Glen Eira,-37.8993,145.0528,Southern Metropolitan,7822
364,Carnegie,2/47 Coorigil Rd,2,u,601000,S,Noel,25/2/17,11.4,3163,2,1,1,132,,1970,Glen Eira,-37.8959,145.06,Southern Metropolitan,7822
365,Carnegie,83 Truganini Rd,3,h,1910000,S,Buxton,25/2/17,11.4,3163,3,1,1,720,,,Glen Eira,-37.8922,145.0544,Southern Metropolitan,7822
366,Carnegie,5/102 Oakleigh Rd,2,u,450000,S,Anderson,27/6/16,11.4,3163,2,1,1,0,72,1970,Glen Eira,-37.8999,145.0575,Southern Metropolitan,7822
367,Carnegie,44 Blackwood St,4,h,1518000,S,hockingstuart,28/5/16,11.4,3163,3,3,2,454,275,2000,Glen Eira,-37.8869,145.0628,Southern Metropolitan,7822
368,Carnegie,3/9 Maroona Rd,1,u,365000,S,hockingstuart,30/7/16,11.4,3163,1,1,1,0,48,1960,Glen Eira,-37.8887,145.048,Southern Metropolitan,7822
369,Caulfield,30 Pyne St,4,h,131000,PI,Rodney,25/2/17,8.9,3162,4,1,2,499,155,1920,Glen Eira,-37.8864,145.0242,Southern Metropolitan,2379
370,Caulfield North,7 Cambridge St,3,h,1870000,S,Marshall,25/2/17,8.1,3161,3,2,1,339,,,Glen Eira,-37.8622,145.0112,Southern Metropolitan,6923
371,Caulfield North,6/378 Dandenong Rd,2,u,622000,PI,Castran,25/2/17,8.1,3161,2,2,1,934,,,Glen Eira,-37.8607,145.0116,Southern Metropolitan,6923
372,Caulfield South,26 Flowers St,3,h,1577500,S,hockingstuart,3/9/16,9.3,3162,3,2,2,357,144,1935,Glen Eira,-37.8896,145.0307,Southern Metropolitan,5051
373,Caulfield South,15 Dover St,2,h,1065000,S,hockingstuart,4/3/17,9.3,3162,2,1,1,273,114,1930,Glen Eira,-37.895,145.022,Southern Metropolitan,5051
374,Caulfield South,1 Rotorua St,2,h,1012000,S,Gary,7/5/16,9.3,3162,2,1,1,0,,,Glen Eira,-37.9002,145.027,Southern Metropolitan,5051
375,Caulfield South,303 Bambra Rd,3,h,1160500,S,Gary,8/10/16,9.3,3162,3,2,1,358,,1930,Glen Eira,-37.8965,145.0269,Southern Metropolitan,5051
376,Caulfield South,11/8 Bealiba Rd,2,u,650000,VB,hockingstuart,8/10/16,9.3,3162,2,1,1,100,,,Glen Eira,-37.8912,145.0289,Southern Metropolitan,5051
377,Caulfield South,80 Sycamore St,3,h,1170000,S,Biggin,8/10/16,9.3,3162,3,1,1,359,120,,Glen Eira,-37.8898,145.0196,Southern Metropolitan,5051
378,Caulfield South,5 Filbert St,3,h,1314000,S,Gary,10/9/16,9.3,3162,3,1,2,339,,,Glen Eira,-37.8906,145.0221,Southern Metropolitan,5051
379,Caulfield South,23 Lygon St,2,h,825000,S,Gary,16/4/16,9.3,3162,2,1,1,367,85,1930,Glen Eira,-37.8995,145.0241,Southern Metropolitan,5051
380,Caulfield South,245 Booran Rd,4,h,1570000,S,hockingstuart,28/5/16,9.3,3162,3,2,2,641,215,1970,Glen Eira,-37.9012,145.035,Southern Metropolitan,5051
381,Chadstone,4/5 Rae St,3,h,650000,PI,hockingstuart,15/10/16,13.6,3148,3,2,2,160,101,2000,Monash,-37.8859,145.0934,Southern Metropolitan,3582
382,Chadstone,1/19 Warrina St,4,t,965000,SP,Buxton,17/9/16,13.6,3148,4,3,2,273,182,2012,Monash,-37.8742,145.105,Southern Metropolitan,3582
383,Clifton Hill,66 Noone St,2,h,780000,S,Harrington,4/6/16,3.4,3068,2,1,1,155,85,1880,Yarra,-37.7934,144.9922,Northern Metropolitan,2954
384,Clifton Hill,86 Hodgkinson St,2,h,1420000,S,Collins,8/10/16,3.4,3068,2,1,0,180,,,Yarra,-37.7898,144.9903,Northern Metropolitan,2954
385,Clifton Hill,85 Roseneath St,2,h,1105000,S,Harrington,8/10/16,3.4,3068,2,1,1,185,84,1910,Yarra,-37.7927,144.9981,Northern Metropolitan,2954
386,Clifton Hill,32 Caroline St,4,h,3010000,S,Collins,10/9/16,3.4,3068,4,3,2,382,250,1903,Yarra,-37.7897,144.9992,Northern Metropolitan,2954
387,Clifton Hill,2A Council St,2,h,880000,VB,Nelson,18/3/17,3.4,3068,2,1,0,100,,,Yarra,-37.7923,144.9858,Northern Metropolitan,2954
388,Clifton Hill,49 Fenwick St,3,h,1680000,S,Nelson,19/11/16,3.4,3068,3,2,1,201,,,Yarra,-37.7884,145,Northern Metropolitan,2954
389,Clifton Hill,1 John St,2,h,730000,S,Nelson,22/5/16,3.4,3068,2,1,1,103,,,Yarra,-37.7898,144.9957,Northern Metropolitan,2954
390,Clifton Hill,1/493 Hoddle St,2,u,533000,SP,Jellis,24/9/16,3.4,3068,2,1,1,0,,1970,Yarra,-37.7931,144.9938,Northern Metropolitan,2954
391,Clifton Hill,53 John St,2,t,640000,VB,Miles,28/8/16,3.4,3068,2,1,1,0,,,Yarra,-37.7873,144.9961,Northern Metropolitan,2954
392,Coburg,38 Harding St,4,h,1221000,S,Nelson,3/12/16,7.8,3058,4,1,2,596,,,Moreland,-37.7456,144.9696,Northern Metropolitan,11204
393,Coburg,35 The Grove,8,u,2250000,PI,Peter,4/3/17,7.8,3058,4,2,4,983,,,Moreland,-37.7517,144.9699,Northern Metropolitan,11204
394,Coburg,2/58 Moore St,3,t,865000,S,Nelson,7/11/16,7.8,3058,3,2,2,263,,2008,Moreland,-37.7546,144.9713,Northern Metropolitan,11204
395,Coburg,56 The Grove,6,h,1900000,VB,hockingstuart,10/12/16,7.8,3058,6,2,2,1060,,,Moreland,-37.7523,144.9725,Northern Metropolitan,11204
396,Coburg,5 Donne St,3,h,1090000,S,ASL,12/11/16,7.8,3058,3,1,1,464,,,Moreland,-37.753,144.9485,Northern Metropolitan,11204
397,Coburg,19 Audley St,4,h,1136000,S,Ray,18/3/17,7.8,3058,4,3,1,420,146,1920,Moreland,-37.7501,144.962,Northern Metropolitan,11204
398,Coburg,9 Vincent St,4,h,1155000,S,Nelson,18/3/17,7.8,3058,4,1,2,370,,,Moreland,-37.7431,144.956,Northern Metropolitan,11204
399,Coburg,13 Hudson St,4,h,1160000,PI,Jellis,18/6/16,7.8,3058,4,2,5,371,,1888,Moreland,-37.7436,144.962,Northern Metropolitan,11204
400,Coburg,1 Shaftsbury St,4,h,990000,SP,Grantham,24/9/16,7.8,3058,4,1,1,488,142,1930,Moreland,-37.7537,144.9532,Northern Metropolitan,11204
401,Coburg,15 Hardwick St,5,h,1020000,PI,Raine,25/2/17,7.8,3058,5,2,4,381,286,1985,Moreland,-37.7492,144.969,Northern Metropolitan,11204
402,Coburg,2/618 Sydney Rd,3,t,600000,S,Brad,25/2/17,7.8,3058,3,1,1,102,95,1976,Moreland,-37.736,144.9665,Northern Metropolitan,11204
403,Coburg,3/117 Gordon St,3,t,687000,S,Nelson,27/11/16,7.8,3058,3,1,1,116,140,1995,Moreland,-37.7454,144.9487,Northern Metropolitan,11204
404,Coburg,265 Bell St,2,h,700000,VB,Nelson,28/5/16,7.8,3058,2,1,2,381,92,1925,Moreland,-37.74,144.9516,Northern Metropolitan,11204
405,Coburg,29 Hardwick St,2,h,981000,S,Nelson,28/8/16,7.8,3058,2,1,1,263,114,1910,Moreland,-37.7493,144.97,Northern Metropolitan,11204
406,Coburg North,3/1 Headley St,3,t,631000,S,McGrath,4/3/17,9.2,3058,3,1,1,178,120,2012,Moreland,-37.7297,144.9645,Northern Metropolitan,3445
407,Coburg North,17 Mathieson St,3,h,860000,S,Nelson,8/10/16,9.2,3058,2,1,3,586,145,1950,Moreland,-37.7205,144.9659,Northern Metropolitan,3445
408,Coburg North,13 Pixel Cct,3,h,625000,S,Nelson,10/9/16,9.2,3058,3,1,2,104,138,2014,Moreland,-37.7307,144.9826,Northern Metropolitan,3445
409,Coburg North,23 Goleen St,3,h,782000,S,Barry,11/3/17,9.2,3058,3,1,3,576,,,Moreland,-37.7269,144.9654,Northern Metropolitan,3445
410,Coburg North,1 McDonnell Rd,2,h,820000,SP,Nelson,12/11/16,9.2,3058,2,1,4,629,120,1960,Moreland,-37.7276,144.9688,Northern Metropolitan,3445
411,Coburg North,18 Ronald St,3,h,750000,S,hockingstuart,18/3/17,9.2,3058,3,2,2,310,,,Moreland,-37.7305,144.9809,Northern Metropolitan,3445
412,Coburg North,127 Elizabeth St,3,h,637000,S,Brad,18/6/16,9.2,3058,3,1,4,498,97,1950,Moreland,-37.7323,144.9833,Northern Metropolitan,3445
413,Coburg North,27 Snapshot Dr,5,h,1172000,S,Ray,19/11/16,9.2,3058,5,3,2,425,37,2014,Moreland,-37.7302,144.9816,Northern Metropolitan,3445
414,Coburg North,64 Elizabeth St,3,h,650000,SP,Barry,25/2/17,9.2,3058,3,1,1,407,95,1930,Darebin,-37.7351,144.9833,Northern Metropolitan,3445
415,Coburg North,2 Carr St,3,h,970000,S,Jellis,27/11/16,9.2,3058,3,1,2,575,129,1960,Moreland,-37.7307,144.9704,Northern Metropolitan,3445
416,Collingwood,2/79 Oxford St,2,u,855000,S,Nelson,3/9/16,1.6,3066,2,1,1,2886,122,1830,Yarra,-37.8042,144.9845,Northern Metropolitan,4553
417,Collingwood,93 Hotham St,2,h,1430000,S,Jellis,4/3/17,1.6,3066,2,1,0,231,,,Yarra,-37.7969,144.9905,Northern Metropolitan,4553
418,Collingwood,1/79 Oxford St,2,h,1230000,S,Jellis,11/2/17,1.6,3066,2,2,1,0,153,1920,Yarra,-37.8042,144.9845,Northern Metropolitan,4553
419,Collingwood,382 Wellington St,2,h,855000,S,Jellis,12/11/16,1.6,3066,2,1,0,130,80,1890,Yarra,-37.7953,144.9882,Northern Metropolitan,4553
420,Collingwood,4/13 Alexander St,1,u,457000,S,Jellis,13/8/16,1.6,3066,1,1,1,406,49,1970,Yarra,-37.796,144.9911,Northern Metropolitan,4553
421,Collingwood,84 Budd St,3,h,1075000,S,hockingstuart,16/4/16,1.6,3066,3,1,0,183,104,1880,Yarra,-37.7948,144.9875,Northern Metropolitan,4553
422,Collingwood,15/78 Oxford St,1,u,461000,SP,Jellis,16/7/16,1.6,3066,1,1,1,0,,,Yarra,-37.8035,144.985,Northern Metropolitan,4553
423,Collingwood,10/30 Mater St,2,u,713500,S,Jellis,22/8/16,1.6,3066,2,2,1,1060,88,2010,Yarra,-37.7954,144.9868,Northern Metropolitan,4553
424,Collingwood,31/78 Oxford St,2,u,1215000,S,Jellis,24/9/16,1.6,3066,3,2,1,0,,1895,Yarra,-37.8035,144.985,Northern Metropolitan,4553
425,Collingwood,8/122 Sackville St,2,u,450000,S,Biggin,28/5/16,1.6,3066,2,1,1,0,,1970,Yarra,-37.7988,144.9912,Northern Metropolitan,4553
426,Doncaster,33 Thiele St,4,h,1396000,S,Barry,3/12/16,13.9,3108,4,1,2,658,138,1975,Manningham,-37.7827,145.1358,Eastern Metropolitan,9028
427,Doncaster,12 Murillo Ct,5,h,1535000,PI,Ray,4/3/17,13.9,3108,5,3,2,681,,,Manningham,-37.7722,145.1309,Eastern Metropolitan,9028
428,Doncaster,1a Morris St,4,h,1152000,S,Jellis,6/8/16,13.9,3108,4,2,2,336,176,2007,Manningham,-37.794,145.1178,Eastern Metropolitan,9028
429,Doncaster,5 Arnold Gr,4,h,1868000,S,hockingstuart,7/5/16,13.9,3108,3,2,2,925,218,1960,Manningham,-37.7869,145.1183,Eastern Metropolitan,9028
430,Doncaster,3 Maralee Pl,3,h,1850000,S,Jellis,7/11/16,13.9,3108,3,1,2,1073,143,1960,Manningham,-37.7772,145.1157,Eastern Metropolitan,9028
431,Doncaster,4 Colston Cl,4,h,1250000,PI,Barry,10/12/16,13.9,3108,4,2,2,780,,,Manningham,-37.7955,145.139,Eastern Metropolitan,9028
432,Doncaster,5/333 George St,3,u,772000,S,Barry,10/12/16,13.9,3108,3,2,1,203,109,1986,Manningham,-37.7776,145.1267,Eastern Metropolitan,9028
433,Doncaster,28 Dunoon St,4,h,1468000,S,Ray,12/11/16,13.9,3108,4,2,2,806,170,1975,Manningham,-37.7939,145.1392,Eastern Metropolitan,9028
434,Doncaster,2 Louise Ct,3,h,1030000,S,Ray,17/9/16,13.9,3108,3,1,1,827,100,1960,Manningham,-37.7848,145.1029,Eastern Metropolitan,9028
435,Doncaster,1/1 Paul St,2,u,522500,S,Noel,18/6/16,13.9,3108,2,1,1,145,,,Manningham,-37.7874,145.1043,Eastern Metropolitan,9028
436,Doncaster,46 Winston Dr,4,h,1462500,S,Philip,18/6/16,13.9,3108,4,3,2,654,160,1969,Manningham,-37.7795,145.1294,Eastern Metropolitan,9028
437,Doncaster,741 Elgar Rd,3,h,1391000,S,Ray,23/4/16,13.9,3108,3,1,1,764,175,1965,Manningham,-37.7934,145.1207,Eastern Metropolitan,9028
438,Doncaster,4 Bellara St,3,h,990000,S,Barry,27/6/16,13.9,3108,2,1,1,746,,,Manningham,-37.7933,145.1417,Eastern Metropolitan,9028
439,Doncaster,16 Katrina St,3,h,1020000,PI,hockingstuart,27/6/16,13.9,3108,3,1,2,725,,,Manningham,-37.7945,145.1172,Eastern Metropolitan,9028
440,Doncaster,13b Outlook Dr,3,h,878000,S,Barry,27/6/16,13.9,3108,3,2,2,0,163,2001,Manningham,-37.7901,145.1341,Eastern Metropolitan,9028
441,Doncaster,394 Manningham Rd,3,h,1202000,S,Barry,27/11/16,13.9,3108,3,2,2,649,150,1965,Manningham,-37.7794,145.1224,Eastern Metropolitan,9028
442,Doncaster,7 Botanic Dr,4,h,1810000,S,Jellis,28/5/16,13.9,3108,4,2,4,769,240,1970,Manningham,-37.7781,145.1337,Eastern Metropolitan,9028
443,Doncaster,34 Ayr St,3,h,826000,S,Assisi,28/8/16,13.9,3108,3,1,4,192,278,,Manningham,-37.7837,145.1027,Eastern Metropolitan,9028
444,Doncaster,1 Crawford Rd,3,h,900000,S,Barry,28/8/16,13.9,3108,4,3,2,385,,,Manningham,-37.7774,145.1205,Eastern Metropolitan,9028
445,Doncaster,2 Eildon St,3,t,888000,S,Jellis,28/8/16,13.9,3108,3,2,1,192,,,Manningham,-37.7942,145.1256,Eastern Metropolitan,9028
446,Eaglemont,6 Ashby Gr,5,h,1901000,S,Nelson,10/9/16,10.3,3084,3,2,2,963,225,1925,Banyule,-37.7674,145.0518,Eastern Metropolitan,1651
447,Eaglemont,76 Castle St,4,h,1650000,VB,Miles,10/9/16,10.3,3084,4,3,2,724,327,1940,Banyule,-37.7594,145.0594,Eastern Metropolitan,1651
448,Eaglemont,47 Ormond Rd,5,h,1930000,S,Miles,15/10/16,10.3,3084,5,2,1,939,236,1930,Banyule,-37.7659,145.0585,Eastern Metropolitan,1651
449,Eaglemont,13 Warne St,4,h,2012000,S,Nelson,27/11/16,10.3,3084,4,3,2,597,245,1940,Banyule,-37.765,145.0646,Eastern Metropolitan,1651
450,Elsternwick,4 Meaney St,2,h,906000,S,Purplebricks,3/12/16,8.5,3185,2,1,1,221,,,Glen Eira,-37.8829,145.0129,Southern Metropolitan,4898
451,Elsternwick,8 Ross St,4,h,1100000,VB,hockingstuart,3/12/16,8.5,3185,4,2,0,147,159,1910,Glen Eira,-37.8852,144.9997,Southern Metropolitan,4898
452,Elsternwick,1/20 College St,2,u,700000,S,Biggin,7/11/16,8.5,3185,2,1,2,99,92,,Glen Eira,-37.8951,145.0085,Southern Metropolitan,4898
453,Elsternwick,14 Prentice St,3,h,1805000,PI,Biggin,10/12/16,8.5,3185,3,2,1,347,,,Glen Eira,-37.8833,145.0118,Southern Metropolitan,4898
454,Elsternwick,2/21 Gisborne St,2,h,1160000,SP,Chisholm,12/11/16,8.5,3185,2,2,2,155,137,2011,Glen Eira,-37.8887,145.0046,Southern Metropolitan,4898
455,Elsternwick,17/39 Horne St,3,t,850000,PI,Scott,19/11/16,8.5,3185,3,2,2,108,142,2000,Glen Eira,-37.8861,145.0014,Southern Metropolitan,4898
456,Elsternwick,20 Shoobra Rd,4,h,2806000,S,Biggin,19/11/16,8.5,3185,4,3,2,669,255,1930,Glen Eira,-37.8871,145.0081,Southern Metropolitan,4898
457,Elsternwick,3 Clarence St,4,h,1450000,PI,Biggin,22/8/16,8.5,3185,4,2,2,376,192,1917,Glen Eira,-37.892,145.008,Southern Metropolitan,4898
458,Elsternwick,22 Ross St,2,h,895000,S,Owen,23/4/16,8.5,3185,2,1,1,147,81,1915,Glen Eira,-37.8849,144.9993,Southern Metropolitan,4898
459,Elsternwick,22 Carlingford St,4,h,2050000,PI,Biggin,27/6/16,8.5,3185,3,3,2,420,270,2016,Glen Eira,-37.8891,145.0102,Southern Metropolitan,4898
460,Elwood,6/217 Brighton Rd,2,u,525000,S,Wilson,3/12/16,7.7,3184,2,1,1,553,83,1960,Port Phillip,-37.8802,144.9942,Southern Metropolitan,8989
461,Elwood,4/6 May St,2,u,750000,S,Gary,3/12/16,7.7,3184,2,1,1,0,71,1930,Port Phillip,-37.8791,144.9923,Southern Metropolitan,8989
462,Elwood,6/14 Shelley St,2,u,599999,S,Chisholm,3/12/16,7.7,3184,2,1,0,0,,,Port Phillip,-37.8808,144.9847,Southern Metropolitan,8989
463,Elwood,4 Wilton Gr,3,t,1395000,S,Pride,4/2/16,7.7,3184,3,2,1,400,126,1996,Port Phillip,-37.8829,144.9797,Southern Metropolitan,8989
464,Elwood,12/27 Dickens St,2,u,855000,S,hockingstuart,4/3/17,7.7,3184,2,1,1,1966,85,1960,Port Phillip,-37.8725,144.9848,Southern Metropolitan,8989
465,Elwood,59 Spray St,3,h,1911000,S,Marshall,4/3/17,7.7,3184,3,1,2,327,,1900,Port Phillip,-37.8846,144.9879,Southern Metropolitan,8989
466,Elwood,32 Burns St,4,h,1875000,S,Pride,12/11/16,7.7,3184,4,2,0,223,173,1910,Port Phillip,-37.882,144.993,Southern Metropolitan,8989
467,Elwood,22/29 Dickens St,3,u,780000,S,Chisholm,12/11/16,7.7,3184,3,1,1,0,100,1960,Port Phillip,-37.8726,144.9846,Southern Metropolitan,8989
468,Elwood,1/125 Glen Huntly Rd,2,u,630000,S,Chisholm,15/10/16,7.7,3184,2,1,1,0,,1960,Port Phillip,-37.8828,144.9897,Southern Metropolitan,8989
469,Elwood,9/2 Alfriston St,1,u,369000,S,hockingstuart,18/3/17,7.7,3184,1,1,1,1547,,1970,Port Phillip,-37.8749,144.9903,Southern Metropolitan,8989
470,Elwood,6/10 Vautier St,2,u,612000,S,Buxton,24/9/16,7.7,3184,2,1,1,0,,,Port Phillip,-37.8861,144.9863,Southern Metropolitan,8989
471,Elwood,8/68 Goldsmith St,2,u,630000,PI,Hodges,25/2/17,7.7,3184,2,1,1,0,70,1935,Port Phillip,-37.8817,144.984,Southern Metropolitan,8989
472,Elwood,1/40 Ormond Rd,1,u,470000,SP,hockingstuart,25/2/17,7.7,3184,1,1,1,900,,,Port Phillip,-37.8839,144.9848,Southern Metropolitan,8989
473,Elwood,7/9 Tiuna Gr,2,u,645000,S,hockingstuart,25/2/17,7.7,3184,2,1,1,0,75,1975,Port Phillip,-37.8842,144.9829,Southern Metropolitan,8989
474,Elwood,3/1 Garden Ct,2,u,875000,SP,Chisholm,26/7/16,7.7,3184,2,1,1,0,83,1930,Port Phillip,-37.8725,144.9854,Southern Metropolitan,8989
475,Elwood,53 Addison St,4,h,1875000,VB,Chisholm,27/6/16,7.7,3184,3,3,0,235,211,2005,Port Phillip,-37.8775,144.9808,Southern Metropolitan,8989
476,Elwood,3/58 Byron St,1,u,340000,SP,Buxton,27/6/16,7.7,3184,1,1,1,0,42,1970,Port Phillip,-37.8784,144.9864,Southern Metropolitan,8989
477,Elwood,4/79 Mitford St,3,t,920000,PI,McGrath,27/11/16,7.7,3184,3,2,2,758,18,2010,Port Phillip,-37.8768,144.9845,Southern Metropolitan,8989
478,Essendon,33 Deakin St,4,t,1250000,PI,Frank,6/8/16,8,3040,3,3,2,374,267,2015,Moonee Valley,-37.7507,144.8911,Western Metropolitan,9264
479,Essendon,59 Hedderwick St,5,h,2800000,PI,Nelson,8/10/16,8,3040,5,4,6,877,378,2005,Moonee Valley,-37.7491,144.9002,Western Metropolitan,9264
480,Essendon,2/4 Balmoral St,2,u,445000,S,Nelson,10/12/16,8,3040,2,1,1,916,,,Moonee Valley,-37.7502,144.9065,Western Metropolitan,9264
481,Essendon,8 Monica St,6,h,2620000,S,Brad,10/12/16,8,3040,6,4,2,860,355,1930,Moonee Valley,-37.7484,144.9025,Western Metropolitan,9264
482,Essendon,82 Price St,3,h,1226000,S,Nelson,10/12/16,8,3040,3,1,3,533,125,1955,Moonee Valley,-37.7462,144.8953,Western Metropolitan,9264
483,Essendon,2/44 Richardson St,3,h,825000,PI,Nelson,10/12/16,8,3040,3,1,3,477,,,Moonee Valley,-37.7499,144.9127,Western Metropolitan,9264
484,Essendon,26 Bradshaw St,4,h,1402000,S,Nelson,11/2/17,8,3040,4,2,1,554,193,1940,Moonee Valley,-37.7508,144.8937,Western Metropolitan,9264
485,Essendon,1 McCarron Pde,4,h,1775000,S,Nelson,12/6/16,8,3040,3,2,2,725,,,Moonee Valley,-37.7551,144.9047,Western Metropolitan,9264
486,Essendon,18 Vanberg Rd,3,h,1385000,S,McDonald,12/11/16,8,3040,3,2,1,619,137,1930,Moonee Valley,-37.7543,144.9318,Western Metropolitan,9264
487,Essendon,130 Tennyson St,2,h,1001000,S,Jellis,15/10/16,8,3040,2,1,2,244,,1915,Moonee Valley,-37.7543,144.9307,Western Metropolitan,9264
488,Essendon,9a Ballater St,2,u,800000,S,Paul,16/4/16,8,3040,2,1,2,502,,,Moonee Valley,-37.7498,144.9048,Western Metropolitan,9264
489,Essendon,11 Raleigh St,3,h,770000,S,Brad,16/4/16,8,3040,3,1,0,438,,,Moonee Valley,-37.754,144.926,Western Metropolitan,9264
